,building,RISK_ID,COUNTRY,LAT,LON,CLC_2012,AREA_m2,Risk
7629,78474.0,UKC11_13019,UK,54.698065908040384,-1.2189135484341067,2,10949.848442646487,38074.333140727795
7630,78475.0,UKC11_13020,UK,54.69990999620097,-1.2190124273874707,2,69247.91623206332,240792.5954151832
7631,78476.0,UKC11_13021,UK,54.698530780977926,-1.2142183963042918,2,7345.691981081951,25542.62346008948
7632,78477.0,UKC11_13022,UK,54.69973681111989,-1.212965634321842,2,7122.168995239646,24764.849829305935
7633,78478.0,UKC11_13023,UK,54.703640408364436,-1.225391893833016,2,1952.806372297289,6789.471157012684
7634,78479.0,UKC11_13024,UK,54.70125153509491,-1.2235748992390036,2,10230.689536654734,35573.81331047356
7635,78480.0,UKC11_13025,UK,54.70435016082497,-1.2248724085338694,2,1769.0368923106205,6149.785934765556
7636,78481.0,UKC11_13026,UK,54.705774803876324,-1.2251186793286384,2,3827.006702706518,13307.244039932066
7637,78482.0,UKC11_13027,UK,54.70550628663239,-1.2203541248266594,2,10264.330875341335,35691.001851772024
7638,78483.0,UKC11_13028,UK,54.70253165410053,-1.207866374928076,0,15369.77718067745,53443.94622274717
7639,78489.0,UKC11_13034,UK,54.706665592041,-1.218025522402749,10,4816.2220317799265,16746.01862440408
7640,78490.0,UKC11_13035,UK,54.70830829306095,-1.2204424093489556,2,14503.95933060958,50432.872492823124
7641,78491.0,UKC11_13036,UK,54.70834492114994,-1.2239909578485308,2,5742.277106182259,19966.837450537514
7642,78492.0,UKC11_13037,UK,54.70963247986904,-1.2244095222534075,2,3551.350755611341,12347.342994646413
7643,78493.0,UKC11_13038,UK,54.710022451488925,-1.2237971718740104,2,4051.032526089714,14085.76409454555
7644,78494.0,UKC11_13039,UK,54.6639694176657,-1.2261489279451887,2,1297.4331056571973,4515.682113977087
7645,78495.0,UKC11_13040,UK,54.663399725261726,-1.2261829405337057,2,1060.0415690633718,3689.2378050725465
7646,78496.0,UKC11_13041,UK,54.66292560393397,-1.2200678016986202,2,1430.6387563368696,4978.982281222791
7647,78497.0,UKC11_13042,UK,54.66327789876677,-1.221322940679053,2,5509.706098248467,19178.38514896937
7648,78498.0,UKC11_13043,UK,54.66457155326503,-1.2260794954190857,2,1973.0195226143746,6867.304091916171
7649,78499.0,UKC11_13044,UK,54.66569527498071,-1.219301014897019,2,6758.411618304835,23525.934137736323
7650,78500.0,UKC11_13045,UK,54.66396829455118,-1.2158227316339685,3,2391.43948952094,8323.710585403069
7651,78501.0,UKC11_13046,UK,54.665600705810974,-1.2163486342698755,3,6338.121370936178,22062.055060906743
7652,78502.0,UKC11_13047,UK,54.6662901590142,-1.2172325913610154,2,2294.762866698929,7987.444334982801
7653,78503.0,UKC11_13048,UK,54.66412552061692,-1.2114638006558198,3,5106.483824980113,17775.781255549708
7654,78504.0,UKC11_13049,UK,54.66852570471858,-1.226086417813156,2,655.9988299781685,2282.8742111864954
7655,78505.0,UKC11_13050,UK,54.6672658077754,-1.2200619032960944,2,2775.175958626432,9659.808487072944
7656,78506.0,UKC11_13051,UK,54.66773914228903,-1.2195207344011407,2,2610.4984116893434,9086.661344689948
7657,78507.0,UKC11_13052,UK,54.670744133215074,-1.2212714796794741,2,3760.476826446601,13089.724241359687
7658,78508.0,UKC11_13053,UK,54.67178207013544,-1.221458817895405,2,7248.780752149554,25233.41943153703
7659,78509.0,UKC11_13054,UK,54.66766420910052,-1.2178893434793967,2,15517.884581690334,54019.30498418065
7660,78510.0,UKC11_13055,UK,54.6727450239866,-1.2168408696351063,2,4624.335364423626,16096.691778451168
7661,78511.0,UKC11_13056,UK,54.66990272343625,-1.2135100315236254,2,10841.776833123778,37741.029430502516
7662,78512.0,UKC11_13057,UK,54.67114769501279,-1.2127037806684766,2,486.342084457229,1691.8036035414716
7663,78513.0,UKC11_13058,UK,54.671273387088796,-1.2123514574065115,2,588.0985740899778,2045.9933192237722
7664,78514.0,UKC11_13059,UK,54.67179005722965,-1.2095126833798238,3,2800.697734396373,9748.732228850744
7665,78515.0,UKC11_13060,UK,54.67211334686885,-1.2103255028111428,3,3528.826315171284,12283.43249868531
7666,78516.0,UKC11_13061,UK,54.66270634658218,-1.1984269783411432,2,1146.9376210960534,3991.106763321465
7667,78517.0,UKC11_13062,UK,54.66326666080843,-1.1963631473510388,2,3443.0854351594444,11985.276423312665
7668,78518.0,UKC11_13063,UK,54.662965768430865,-1.189504800962314,2,5143.328527680166,17890.725444839092
7669,78519.0,UKC11_13064,UK,54.6646681274801,-1.1971797762947842,2,3719.490060912152,12947.745157848905
7670,78520.0,UKC11_13065,UK,54.663938542162725,-1.1967049611494631,2,4854.765206490675,16898.49997111994
7671,78521.0,UKC11_13066,UK,54.66500282997202,-1.1976391640455883,2,2387.0532105851325,8308.765418717723
7672,78522.0,UKC11_13067,UK,54.66559476943061,-1.1975769974179566,2,4627.401066174312,16107.153395130916
7673,78523.0,UKC11_13068,UK,54.66547295513107,-1.1958979316516498,2,4727.018308936341,16454.628520565188
7674,78524.0,UKC11_13069,UK,54.66390876577289,-1.1897519884967651,2,3461.017933711985,12038.660863211979
