,building,RISK_ID,COUNTRY,LAT,LON,CLC_2012,AREA_m2,13/01/1984,14/01/1984,18/01/1995,24/01/2009,01/02/1983,25/03/1986,26/02/1990,28/02/1990,04/01/1998,11/02/1990,07/02/1996,27/12/1999,25/01/1990,11/02/2009,03/01/2012,28/01/1994,26/12/1999,16/12/2011,01/02/2008,25/11/1992,26/12/1998,16/10/1987,05/12/2013,08/02/1988,13/01/1993,07/01/2005,24/12/1997,27/01/2002,27/02/2010,23/11/1984,03/02/1990,08/02/1990,28/12/2011,30/10/2000,28/10/2013,22/10/1986,18/01/1983,20/01/1986,08/01/1991,18/01/2007,08/12/1993,05/11/1996,11/01/2005,03/12/1999,27/10/2002,27/10/1996,02/03/2008,28/10/1998,02/11/1981,26/12/2011,29/11/1988,28/03/1997,23/01/1993
46,43184,UKC11_123,UK,54.54025576,-1.407959799,29,1538.504102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,43185,UKC11_124,UK,54.54224011,-1.41118004,12,2215.10034,98.21542502,294.6462751,0,0,986.5739443,0,294.6462751,0,0,0,0,0,0,0,0,0,0,0,0,0,98.21542502,0,0,98.21542502,0,6187.571776,4.910771251,294.6462751,0,0,0,0,0,0,0,0,0,0,0,0,0,4.910771251,0,4.910771251,0,0,0,0,0,0,0,0,1.9643085
48,43186,UKC11_125,UK,54.54188868,-1.408231699,12,2790.553231,123.7304544,371.1913632,0,0,1242.872415,0,371.1913632,0,0,0,0,0,0,0,0,0,0,0,0,0,123.7304544,0,0,123.7304544,0,7795.018628,6.18652272,371.1913632,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18652272,0,6.18652272,0,0,0,0,0,0,0,0,2.474609088
49,43187,UKC11_126,UK,54.54398704,-1.405493419,29,1516.705555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,43188,UKC11_127,UK,54.54160479,-1.383676417,12,2715.35433,120.3962072,361.1886217,0,0,1209.379902,0,361.1886217,0,0,0,0,0,0,0,0,0,0,0,0,0,120.3962072,0,0,120.3962072,0,7584.961057,6.019810362,361.1886217,0,0,0,0,0,0,0,0,0,0,0,0,0,6.019810362,0,6.019810362,0,0,0,0,0,0,0,0,2.407924145
51,43189,UKC11_128,UK,54.54905836,-1.401796473,12,2687.788322,119.1739569,357.5218706,0,0,1197.102397,0,357.5218706,0,0,0,0,0,0,0,0,0,0,0,0,0,119.1739569,0,0,119.1739569,0,7507.959282,5.958697843,357.5218706,0,0,0,0,0,0,0,0,0,0,0,0,0,5.958697843,0,5.958697843,0,0,0,0,0,0,0,0,2.383479137
52,43190,UKC11_129,UK,54.54939658,-1.383778475,12,1679.969051,74.48821678,223.4646503,0,0,748.2341376,0,223.4646503,0,0,0,0,0,0,0,0,0,0,0,0,0,74.48821678,0,0,74.48821678,0,4692.757657,3.724410839,223.4646503,0,0,0,0,0,0,0,0,0,0,0,0,0,3.724410839,0,3.724410839,0,0,0,0,0,0,0,0,1.489764336
53,43195,UKC11_134,UK,54.55756322,-1.431126776,18,1444.663289,66.51487051,199.5446115,0,0,668.1418743,0,199.5446115,0,0,0,0,0,0,0,0,0,0,0,0,0,66.51487051,0,0,66.51487051,0,4190.436842,3.325743526,199.5446115,0,0,0,0,0,0,0,0,0,0,0,0,0,3.325743526,0,3.325743526,0,0,0,0,0,0,0,0,1.33029741
54,43198,UKC11_137,UK,54.55410172,-1.414984172,18,3927.007767,180.8064309,542.4192927,0,0,1816.200598,0,542.4192927,0,0,0,0,0,0,0,0,0,0,0,0,0,180.8064309,0,0,180.8064309,0,11390.80515,9.040321545,542.4192927,0,0,0,0,0,0,0,0,0,0,0,0,0,9.040321545,0,9.040321545,0,0,0,0,0,0,0,0,3.616128618
55,43199,UKC11_138,UK,54.56191549,-1.409448366,12,1276.167782,56.58405575,169.7521673,0,0,568.38684,0,169.7521673,0,0,0,0,0,0,0,0,0,0,0,0,0,56.58405575,0,0,56.58405575,0,3564.795512,2.829202788,169.7521673,0,0,0,0,0,0,0,0,0,0,0,0,0,2.829202788,0,2.829202788,0,0,0,0,0,0,0,0,1.131681115
56,43200,UKC11_139,UK,54.56203507,-1.40892963,12,988.6976192,43.83790437,131.5137131,0,0,440.3517494,0,131.5137131,0,0,0,0,0,0,0,0,0,0,0,0,0,43.83790437,0,0,43.83790437,0,2761.787975,2.191895219,131.5137131,0,0,0,0,0,0,0,0,0,0,0,0,0,2.191895219,0,2.191895219,0,0,0,0,0,0,0,0,0.876758087
57,43201,UKC11_140,UK,54.56254216,-1.408245388,12,1004.232004,44.5266841,133.5800523,0,0,447.2705418,0,133.5800523,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5266841,0,0,44.5266841,0,2805.181098,2.226334205,133.5800523,0,0,0,0,0,0,0,0,0,0,0,0,0,2.226334205,0,2.226334205,0,0,0,0,0,0,0,0,0.890533682
58,43202,UKC11_141,UK,54.5562485,-1.397179299,18,1282.336437,59.04105318,177.1231595,0,0,593.0673792,0,177.1231595,0,0,0,0,0,0,0,0,0,0,0,0,0,59.04105318,0,0,59.04105318,0,3719.58635,2.952052659,177.1231595,0,0,0,0,0,0,0,0,0,0,0,0,0,2.952052659,0,2.952052659,0,0,0,0,0,0,0,0,1.180821064
59,43204,UKC11_143,UK,54.56394515,-1.40508188,18,852.9580296,39.27170665,117.8151199,0,0,394.4842933,0,117.8151199,0,0,0,0,0,0,0,0,0,0,0,0,0,39.27170665,0,0,39.27170665,0,2474.117519,1.963585332,117.8151199,0,0,0,0,0,0,0,0,0,0,0,0,0,1.963585332,0,1.963585332,0,0,0,0,0,0,0,0,0.785434133
60,43205,UKC11_144,UK,54.56370778,-1.404052069,18,1837.692271,84.61062476,253.8318743,0,0,849.9137258,0,253.8318743,0,0,0,0,0,0,0,0,0,0,0,0,0,84.61062476,0,0,84.61062476,0,5330.46936,4.230531238,253.8318743,0,0,0,0,0,0,0,0,0,0,0,0,0,4.230531238,0,4.230531238,0,0,0,0,0,0,0,0,1.692212495
61,43206,UKC11_145,UK,54.56445499,-1.403742337,18,939.2040187,43.24262558,129.7278767,0,0,434.3721739,0,129.7278767,0,0,0,0,0,0,0,0,0,0,0,0,0,43.24262558,0,0,43.24262558,0,2724.285411,2.162131279,129.7278767,0,0,0,0,0,0,0,0,0,0,0,0,0,2.162131279,0,2.162131279,0,0,0,0,0,0,0,0,0.864852512
62,43209,UKC11_148,UK,54.56943766,-1.404236743,18,1416.385861,65.21292737,195.6387821,0,0,655.0638554,0,195.6387821,0,0,0,0,0,0,0,0,0,0,0,0,0,65.21292737,0,0,65.21292737,0,4108.414424,3.260646368,195.6387821,0,0,0,0,0,0,0,0,0,0,0,0,0,3.260646368,0,3.260646368,0,0,0,0,0,0,0,0,1.304258547
